Type détaillé;Type
Association d'établissements;Association
Autre établissement;Autre
Communauté d'universités et établissements;Association
École d'administration publique;Ecole
École d'ingénieurs;Ecole
École de commerce et de management;Ecole
École de formation agricole ou halieutique;Ecole
École de formation artistique;Ecole
École de formation sanitaire et sociale;Ecole
École extérieure relevant d'un autre département ministériel;Ecole
École française à l'étranger;Ecole
École habilitée à délivrer un diplôme d'ingénieur;Ecole
École nationale supérieure d'ingénieurs;Ecole
École normale supérieure;Ecole
Établissement d'enseignement supérieur privé rattachés à un EPSCP;Ecole
Établissement privé d'enseignement universitaire;Institut
Établissement public expérimental;Université
"Établissement public expérimental;Université";Université
Établissement relevant d'un autre département ministériel rattaché à un EPSCP;Ecole
Établissement supérieur d'architecture;Ecole
Grand établissement;Grand établissement
Grand établissement relevant d'un autre département ministériel;Grand établissement
Institut d'étude politique;Institut
Institut national polytechnique;Institut
Institut ou école extérieur aux universités;Institut
Pôle de recherche et d'enseignement supérieur;Association
Université;Université